[1,  2000] loss: 3.226
[2,  2000] loss: 3.168
[3,  2000] loss: 3.221
[4,  2000] loss: 3.222
[5,  2000] loss: 3.222
[6,  2000] loss: 3.221
[7,  2000] loss: 3.222
[8,  2000] loss: 3.222
[9,  2000] loss: 3.221
[10,  2000] loss: 3.221
[11,  2000] loss: 3.221
[12,  2000] loss: 3.221
[13,  2000] loss: 3.221
[14,  2000] loss: 3.221
[15,  2000] loss: 3.221
[16,  2000] loss: 3.221
[17,  2000] loss: 3.221
[18,  2000] loss: 3.221
[19,  2000] loss: 3.221
[20,  2000] loss: 3.221
[21,  2000] loss: 3.222
[22,  2000] loss: 3.221
[23,  2000] loss: 3.222
[24,  2000] loss: 3.221
[25,  2000] loss: 3.221
[26,  2000] loss: 3.221
[27,  2000] loss: 3.221
[28,  2000] loss: 3.221
[29,  2000] loss: 3.222
[30,  2000] loss: 3.221
[31,  2000] loss: 3.221
[32,  2000] loss: 3.221
[33,  2000] loss: 3.221
[34,  2000] loss: 3.221
[35,  2000] loss: 3.221
[36,  2000] loss: 3.221
[37,  2000] loss: 3.221
[38,  2000] loss: 3.221
[39,  2000] loss: 3.221
[40,  2000] loss: 3.221
[41,  2000] loss: 3.221
[42,  2000] loss: 3.221
[43,  2000] loss: 3.221
[44,  2000] loss: 3.221
[45,  2000] loss: 3.221
[46,  2000] loss: 3.221
[47,  2000] loss: 3.221
[48,  2000] loss: 3.221
[49,  2000] loss: 3.221
[50,  2000] loss: 3.221
[51,  2000] loss: 3.221
[52,  2000] loss: 3.221
[53,  2000] loss: 3.221
[54,  2000] loss: 3.221
[55,  2000] loss: 3.221
